URL,Version,Status,OIDs,Name,Title,Description,Used
https://nhicore.nhi.gov.tw/pas/CodeSystem/inca-osiris,1.0.6,active,,INCaOsiris,INCa-健保事前審查-基因突變類型,"INCa-健保事前審查-基因突變類型，資料所屬單位：Institut National du Cancer (INCa)，參照至：https://github.com/InstitutNationalduCancer/OSIRIS。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/medication-frequency-nhi-tw,1.0.6,active,,NHIMedicationFrequency,NHI-健保事前審查-藥品使用頻率,"NHI-健保事前審查-藥品使用頻率，參照至[健保署檔案譯碼簿](https://www.nhi.gov.tw/ch/cp-1880-20811-3142-1.html)中的「藥品使用頻率（2022/8/2版本）」。  代碼出版日期：2024-05-27；資料所屬單位：衛生福利部中央健康保險署。  *因原始資料無代碼版本資訊，故使用其「更新日期」作為版本資訊。*",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nci-thesaurus,1.0.6,active,,NciThesaurus,NCI 健保事前審查-Thesaurus,"NCI 健保事前審查-Thesaurus，參照至http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl   代碼出版日期：2022-10-13。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-acceptance-status,1.0.6,active,,NHIAcceptanceStatus,NHI-健保事前審查-案件受理狀態,"臺灣衛生福利部中央健康保險署「案件受理狀態」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-apply-reason,1.0.6,active,,NHIApplyReason,NHI-健保事前審查-給付適應症,"臺灣衛生福利部中央健康保險署「給付適應症」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-apply-side,1.0.6,active,,NHIApplySide,NHI-健保事前審查-申請部位,"臺灣衛生福利部中央健康保險署「申請部位」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-apply-type,1.0.6,active,,NHIApplyType,NHI-健保事前審查-申報類別,"臺灣衛生福利部中央健康保險署「申報類別」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-approve-comment,1.0.6,active,,NHIApproveComment,NHI-健保事前審查-核定註記,"臺灣衛生福利部中央健康保險署「核定註記」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-body-site,1.0.6,active,,NHIBodySite,NHI-健保事前審查-身體部位,"臺灣衛生福利部中央健康保險署「身體部位」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
https://nhicore.nhi.gov.tw/pas/CodeSystem/nhi-continuation-status,1.0.6,active,,NHIContinuationStatus,NHI-健保事前審查-續用註記,"臺灣衛生福利部中央健康保險署「續用註記」代碼，代碼出版日期：2025-07-01；資料所屬單位：臺灣衛生福利部中央健康保險署。",
